Year,Precinct,DateofStop,CrimeSuspected,ArrestMade,SummonsIssued,Frisked,Searched,ContrabandFound,PistolFound,RifleFound,AssaultWeaponFound,KnifeFound,MachineGunFound,OtherWeaponFound,PhysicalForceUsed,SuspectHeldAgainstWall,SuspectHeldontheGround,DidPoliceDrawtheirWeapon,SuspectPutinHandcuffs,Sex,Race,age,Address,LocationofStopIntersection,LocationofCrossStreet,Intersection,City,xcoord,ycoord,Zipcode,State,AUTO_UNIQUE_ID_2017-12-18_newmathishere_bronxstopandfr,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle
2016,49,8072016,Misdemeanor,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,18,1219 ADEE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1025160,256072,,New York,1192,USCGeocoder,81,1,4.1,,6fa6e5c2-d4f0-4ec8-99cc-3b828b855457,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1889.128447,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.86952147,-73.85216073,Relaxed,1219,,,ADEE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,8072016,Misdemeanor,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,20,1219 ADEE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1025160,256072,,New York,1193,USCGeocoder,79,1,4.1,,f9490981-2e21-412e-96af-088018f59233,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1889.128447,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.86952147,-73.85216073,Relaxed,1219,,,ADEE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,8072016,Misdemeanor,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,22,1219 ADEE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1025160,256072,,New York,1194,USCGeocoder,78,1,4.1,,94fd9f79-83d5-4602-a021-d7d0d989c37e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1889.128447,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.86952147,-73.85216073,Relaxed,1219,,,ADEE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,5052016,Misdemeanor,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,61,1176 EAST GUN HILL ROAD,Tenbroeck Avenue,HERING AVENUE,Tenbroeck Avenue & HERING AVENUE,Bronx, , ,,New York,1209,USCGeocoder,91,1,4.1,,f7744ba1-dfde-4f20-870c-50f34baf2e82,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,430.7673196,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.87319836,-73.85362401,Relaxed,1176,,E,GUN HILL,RD,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,5052016,Misdemeanor,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,32,1176 EAST GUN HILL ROAD,Tenbroeck Avenue,HERING AVENUE,Tenbroeck Avenue & HERING AVENUE,Bronx, , ,,New York,1210,USCGeocoder,85,1,4.1,,3a5b888e-7c64-40e9-80ba-027107eacfd5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,430.7673196,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.87319836,-73.85362401,Relaxed,1176,,E,GUN HILL,RD,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,10/1/16,Felony,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,19,1166 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024822,256706,,New York,1215,USCGeocoder,87,1,4.1,,b3bcf5c9-6cee-4359-b8fe-0d422bd17374,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1895.98369,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.87109892,-73.85332873,Relaxed,1166,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,10/1/16,Felony,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,37,1166 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024822,256706,,New York,1216,USCGeocoder,150,1,4.1,,e9e85e57-d82c-4011-b2e6-9d5241af2543,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1895.98369,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.87109892,-73.85332873,Relaxed,1166,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,10/1/16,Felony,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,19,1166 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024822,256706,,New York,1217,USCGeocoder,105,1,4.1,,80b623ec-da45-4071-b630-fd0186b0921e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1895.98369,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.87109892,-73.85332873,Relaxed,1166,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,10/1/16,Felony,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,22,1166 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024822,256706,,New York,1218,USCGeocoder,128,1,4.1,,f58f63ff-2296-4701-9848-27c6650aa80e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1895.98369,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.87109892,-73.85332873,Relaxed,1166,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,12132016,Felony,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Male,Black,31,1160 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024798,256706,,New York,1223,USCGeocoder,88,1,4.1,,708b4706-d26f-4487-8324-ffe006eaebc1,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1895.98369,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.87110054,-73.85341273,Relaxed,1160,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,1222016,Criminal Trespass,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,21,1140 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024640,256710,,New York,1235,USCGeocoder,88,1,4.1,,e5e43809-0609-4668-96c7-3ecab513629f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1877.241641,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.8711068,-73.85376533,Relaxed,1140,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,1222016,Criminal Trespass,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Male,Black,18,1140 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024640,256710,,New York,1236,USCGeocoder,87,1,4.1,,abc21203-283c-4206-87c3-68425d70b3df,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1877.241641,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.8711068,-73.85376533,Relaxed,1140,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,1222016,Criminal Trespass,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,16,1140 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024640,256710,,New York,1237,USCGeocoder,88,1,4.1,,4afd31e1-063a-47c8-818d-8ed5ef35b2b8,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1877.241641,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.8711068,-73.85376533,Relaxed,1140,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,2022016,Criminal Trespass,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Male,Black,36,1140 BURKE AVENUE,Bouck Avenue,YATES AVENUE,Bouck Avenue & YATES AVENUE,Bronx,1024640,256710,,New York,1238,USCGeocoder,87,1,4.1,,9d2398c3-a78f-417b-bae9-71cb2fdd9af7,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1877.241641,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.8711068,-73.85376533,Relaxed,1140,,,BURKE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,49,7292016,Misdemeanor,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,White,63,1132 WARING AVENUE,Esplanade,YATES AVENUE,Esplanade & YATES AVENUE,Bronx,1024496,253033,,New York,1241,USCGeocoder,100,1,4.1,,3f115044-b0f0-4725-965e-730cf07fa9f1,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1899.540354,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.8610162,-73.85442371,Relaxed,1132,,,WARING,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
